"","sold_date","sold_vrm","sold_new_or_used","sold_did","sold_gid","sold_did_lat","sold_did_lon","sold_did_postcode","sold_make","sold_model","buyyer_postcode_district","buyer_lat","buyer_lon","vrm_match_flag","viewed_vrm","viewed_event_date","viewed_did","viewed_gid","viewed_distance_between","viewed_retailer_postcode","viewed_retailer_postcode_1","viewed_retailer_postcode_2","me_vrm_match_flag","DID","DateofSale","Make","Model","PostCode","Sold.Price","Prep.Cost","Chassis.Margin","Value.added.Products","Finance.Comission","Delivered"
"1",2021-07-17,"GU15MXO","USED","10028897","10023837",50.8614202803,-1.1800997702,"PO167HZ","Volkswagen","Polo","DT10",50.9034,-2.3398,0,"GU15MXO",2021-07-08,"10023909","10023837",46.3305192940658,"SO322AR",50.9465985806,-1.2782473294,1,"10028897","01/07/2021","Volkswagen","Polo Se","DT102DW",5902,520,1668.3333,0,0,"17/07/2021"
"2",2021-07-17,"GU15MXO","USED","10028897","10023837",50.8614202803,-1.1800997702,"PO167HZ","Volkswagen","Polo","DT10",50.9034,-2.3398,0,"GU15MXO",2021-07-08,"10023909","10023837",46.3305192940658,"SO322AR",50.9465985806,-1.2782473294,1,"10028897","01/07/2021","Volkswagen","Polo Se","DT102DW",5902,520,1668.3333,0,0,"17/07/2021"
"3",2021-07-17,"GU15MXO","USED","10028897","10023837",50.8614202803,-1.1800997702,"PO167HZ","Volkswagen","Polo","DT10",50.9034,-2.3398,0,"ML62AUR",2021-07-01,"10027421","10023837",38.067218435015,"SO150ND",50.9206321919,-1.466444378,0,"10028897","01/07/2021","Volkswagen","Polo Se","DT102DW",5902,520,1668.3333,0,0,"17/07/2021"
"4",2021-07-17,"GU15MXO","USED","10028897","10023837",50.8614202803,-1.1800997702,"PO167HZ","Volkswagen","Polo","DT10",50.9034,-2.3398,0,"LB62NKZ",2021-07-01,"10027421","10023837",38.067218435015,"SO150ND",50.9206321919,-1.466444378,0,"10028897","01/07/2021","Volkswagen","Polo Se","DT102DW",5902,520,1668.3333,0,0,"17/07/2021"
"5",2021-07-17,"GU15MXO","USED","10028897","10023837",50.8614202803,-1.1800997702,"PO167HZ","Volkswagen","Polo","DT10",50.9034,-2.3398,0,"GU15MXO",2021-07-01,"10027421","10023837",38.067218435015,"SO150ND",50.9206321919,-1.466444378,1,"10028897","01/07/2021","Volkswagen","Polo Se","DT102DW",5902,520,1668.3333,0,0,"17/07/2021"
"6",2021-07-17,"GU15MXO","USED","10028897","10023837",50.8614202803,-1.1800997702,"PO167HZ","Volkswagen","Polo","DT10",50.9034,-2.3398,0,"ML62AUR",2021-07-01,"10027421","10023837",38.067218435015,"SO150ND",50.9206321919,-1.466444378,0,"10028897","01/07/2021","Volkswagen","Polo Se","DT102DW",5902,520,1668.3333,0,0,"17/07/2021"
"7",2021-07-17,"GU15MXO","USED","10028897","10023837",50.8614202803,-1.1800997702,"PO167HZ","Volkswagen","Polo","DT10",50.9034,-2.3398,0,"ML62AUR",2021-07-01,"10027421","10023837",38.067218435015,"SO150ND",50.9206321919,-1.466444378,0,"10028897","01/07/2021","Volkswagen","Polo Se","DT102DW",5902,520,1668.3333,0,0,"17/07/2021"
