DID,DateofSale,VRM,Make,Model,PostCode,Sold Price,Prep Cost,Chassis Margin,Value added Products,Finance Comission,Delivered
10024975,06/07/2021,LS14VUB,Mercedes,A-Class A180 Cdi Blueefficiency Amg Sport,SP105HU,11700,520,1342.5,0,-200,15/07/2021
13281,06/07/2021,YX15UCV,Citroen,C4 Picasso E-Hdi Selection,RG316RB,6899,520,1582.5,0,0,10/07/2021
13281,06/07/2021,MT16OAG,Nissan,Juke Acenta Dig-T,CB19EJ,7750,520,1833.3333,500,0,13/07/2021
10028897,06/07/2021,GN64WHR,Ford,Ka Studio,SO408HY,4050,520,1292.5,199,0,14/07/2021
10028897,06/07/2021,VF17RCY,Nissan,Qashqai Dci Tekna,SO408HY,12850,520,1090.8333,199,0,25/07/2021
10024975,06/07/2021,VO18YNC,Skoda,Octavia Se L Tsi,SO183QD,11682,520,1401.6667,0,0,10/07/2021
10024975,06/07/2021,YK66ZNN,Ds,Ds 3 Bluehdi Prestige S/S,PO76TS,8495,520,1408.3333,1700,439.46,07/07/2021
10028897,07/07/2021,FN14CEA,Bmw,3 Series 318D Luxury Gran Turismo,HR12QU,9850,520,2083.3333,0,0,13/07/2021
13281,07/07/2021,DD08ODO,Mercedes,E-Class E250 Cdi Amg Sport,SO192EF,15250,520,1832.5,0,0,22/07/2021
10028897,07/07/2021,DN65TVW,Vauxhall,Astra Excite,PO29BU,6250,520,1463.3333,750,598.41,14/07/2021
10024975,07/07/2021,YH12RFO,Volkswagen,Golf Se Tdi Bluemotion Technology,PO76TS,7350,520,1360.8333,301,0,08/07/2021
10024975,07/07/2021,YY66ZFD,Seat,Ibiza Tsi Cupra Black,B339TE,11289,520,1120,600,607.09,23/07/2021
10028897,08/07/2021,CU65RBZ,Peugeot,208 Puretech S/S Gt Line,PO212AW,6799,520,374.1667,199,0,14/07/2021
13281,08/07/2021,AO14LNJ,Mini,Paceman Cooper D,SP97EU,7299,520,1785.8333,250,0,20/07/2021
13281,08/07/2021,LJ13WBF,Mercedes,A-Class A200 Cdi Blueefficiency Amg Sport,SO192QB,11681,520,1885,0,0,15/07/2021
10024975,09/07/2021,GK12UPS,Volvo,Xc90 D5 R-Design Awd,PA191TG,14999,520,2082.5,500,0,15/07/2021
13281,09/07/2021,AE13XFW,Land Rover,Freelander Td4 Gs,SO452NH,11593,520,1744.1667,999,0,16/07/2021
13281,09/07/2021,LK65SVO,Mercedes,A-Class A180 Cdi Blueefficiency Sport,PO89SH,9950,520,1444.1667,300,0,13/07/2021
10028897,09/07/2021,CV15OSE,Ford,Focus Zetec Tdci,PO138EN,5995,520,1363.3333,0,242,19/07/2021
13281,09/07/2021,LD65KUF,Citroen,C4 Grand Picasso Bluehdi Exclusive,HA01LP,8901,520,1403.3333,0,492.25,14/07/2021
13281,09/07/2021,GX13GAA,Mercedes,A-Class A180 Cdi Blueefficiency Se,SP104FA,10450,520,1585,1025.11,631.13,15/07/2021
13281,09/07/2021,JM05GDM,Skoda,Yeti Outdoor Se L Tsi Dsg,BS159YP,13250,520,1634.1667,1200,449.94,23/07/2021
10024975,10/07/2021,YB18EOM,Bmw,1 Series 118I Sport,GL530AY,13200,520,1810.8333,0,0,17/07/2021
10028897,10/07/2021,YA14RYR,Audi,Q5 Tdi Quattro Se,SO150SB,14699,520,1731.6667,1299,1031.57,15/07/2021
13281,10/07/2021,BJ67XNY,Mercedes,A-Class A 180 D Amg Line,SO455NQ,15649,520,1582.5,0,0,19/07/2021
13281,11/07/2021,VA66JJX,Nissan,Juke N-Connecta Dig-T,DT20BX,8750,520,1205,0,0,17/07/2021
10024975,11/07/2021,LM64BXL,Peugeot,308 E-Hdi Feline,SO169AW,6750,520,1050.5,375,378.26,22/07/2021
13281,11/07/2021,CN61MEG,Ds,Ds 3 Puretech Dstyle Nav S/S,SO237FL,5995,520,1204.1667,999,0,17/07/2021
10024975,11/07/2021,GJ67ZWX,Suzuki,Vitara Sz-T,PO73DG,11799,520,1101.6667,800,0,14/07/2021
13281,11/07/2021,DS14XUY,Citroen,Ds3 E-Hdi Airdream Dsport Plus,SO509NS,6899,520,985,0,0,16/07/2021
10028897,11/07/2021,YK15UDM,Mitsubishi,Outlander Phev Gx 4H,TN57NF,11899,520,1508.3333,850,0,27/07/2021
10028897,11/07/2021,LG68SFE,Seat,Arona Tdi Xcellence Lux,HP202XJ,15407,520,1275,0,0,11/07/2021
10028897,12/07/2021,LP14CVD,Jaguar,Xf D R-Sport,PO196BP,9133.83,520,-146.17,0,44.23,19/07/2021
13281,12/07/2021,YA13LJK,Bmw,1 Series 118D M Sport,RG247JB,9995,520,1593.3333,0,0,17/07/2021
13281,12/07/2021,NG13ZLO,Nissan,Qashqai 360,BH93QS,7299,520,210.3333,999,0,16/07/2021
10028897,12/07/2021,YA16HVB,Bmw,1 Series 116D M Sport,PO156SW,11950,520,1017.1667,999,0,13/07/2021
13281,12/07/2021,SA16TCM,Bmw,85,RM52HY,15750,520,1435.8333,0,0,16/07/2021
10024975,12/07/2021,RF66ULC,Volkswagen,Polo Bluegt,GU236EJ,12399,520,1165.8333,1350,0,21/07/2021
10028897,12/07/2021,LB66DHZ,Skoda,Superb Se Tdi,CT155LX,8250,520,959.8333,399,428.89,12/07/2021
13281,12/07/2021,YL16VAK,Bmw,3 Series 320D Xdrive M Sport,SK117HS,14599,520,1244.3333,0,0,19/07/2021
13281,13/07/2021,EY14GXO,Ford,Grand C-Max Titanium X,PL219DH,7795,520,163.3333,0,0,14/07/2021
10024975,13/07/2021,HS16NJV,Ford,Ecosport Zetec,CM159DD,7740,520,2283.3333,0,-499,19/07/2021
10028897,13/07/2021,EF17UOV,Ford,Ecosport Titanium,SO237BE,7995,520,1295,0,0,24/07/2021
13281,13/07/2021,EK16MTV,Bmw,3 Series 320D Xdrive M Sport,SO168HX,17450,520,2041.6667,0,761,15/07/2021
13281,13/07/2021,CP16HGK,Seat,Alhambra Tdi Ecomotive S,RH104SE,11127,520,1355,0,0,20/07/2021
10024975,13/07/2021,DL66CRX,Jeep,Renegade M-Jet Limited,DT83ER,12640,520,1177.5,200,0,21/07/2021
13281,13/07/2021,A14WJD,Vauxhall,Astra Excite,BH233BD,6995,520,1481.6667,0,0,13/07/2021
13281,13/07/2021,YH13XUV,Bmw,X3 Xdrive20D M Sport,SO212FJ,12950,520,1625,0,0,24/07/2021
13281,13/07/2021,KN66ZDW,Bmw,1 Series 116D Ed Plus,SO153DJ,9701,520,1459.1667,0,0,24/07/2021
13281,13/07/2021,KU18VEP,Kia,Ceed Crdi Gt-Line Isg,PO123DR,9999,520,1106.6667,0,0,13/07/2021
